Precinct,KEITH JUDD                            ,MICHAEL STEINBERG                     ,BERNIE SANDERS                        ,WILLIE WILSON                         ,ROQUE DE LA FUENTE                    ,HILLARY CLINTON                       ,HENRY HEWES                           ,WRITE-IN                              ,OVER VOTES                            ,UNDER VOTES                           ,TOTALS
8049542,0,2,57,1,1,178,0,0,1,4,244
8049596,0,0,48,0,0,122,0,0,0,4,174
8049629,1,0,61,0,0,96,0,0,0,4,162
8049732,0,1,98,0,0,183,0,1,0,7,290
8049766,1,2,112,1,1,159,0,0,0,4,280
8049802,1,0,28,0,0,56,0,0,0,7,92
8049923,0,3,85,1,0,111,1,0,0,1,202
8051026,0,1,114,0,0,128,0,0,0,2,245
8051127,0,0,128,0,1,135,1,0,0,6,271
8051180,0,1,136,1,0,124,0,0,0,3,265
8051317,1,2,112,0,0,122,1,0,0,3,241
8051415,0,1,153,0,1,172,0,0,0,20,347
8051565,0,0,156,2,0,163,0,0,0,3,324
8051729,0,2,150,0,1,186,0,0,0,9,348
8051753,0,1,59,0,0,105,1,0,0,4,170
8051844,3,1,97,1,0,142,0,0,0,10,254
8051922,1,1,132,2,2,135,0,1,0,13,287
8052129,0,2,120,1,0,191,1,0,0,10,325
8052218,0,1,85,0,0,103,0,0,0,3,192
8052260,0,1,102,1,0,150,0,0,0,7,261
8052405,0,0,116,1,0,117,0,0,0,13,247
8052516,0,3,97,0,0,138,0,0,0,2,240
8052627,0,0,116,1,0,159,0,0,0,3,279
8052723,0,1,80,1,0,110,1,0,0,6,199
8052750,1,2,111,2,0,171,0,1,0,4,292
8052868,1,1,87,0,0,117,0,1,0,4,211
8053014,1,1,85,1,0,99,0,0,0,9,196
8053067,0,1,126,1,0,148,0,0,0,11,287
8053137,0,0,118,2,1,145,0,0,0,11,277
8053261,0,0,102,3,0,99,0,0,0,9,213
8053318,2,1,77,1,0,101,0,0,0,6,188
8053363,0,2,106,1,1,126,0,0,0,7,243
8053435,2,1,92,1,0,116,0,0,0,5,217
8053526,1,0,72,1,0,110,1,1,0,3,189
8053594,0,0,87,0,0,100,0,0,0,4,191
8053610,0,0,70,0,0,107,0,0,0,6,183
8053657,0,0,114,2,0,140,0,0,0,1,257
8053903,0,1,92,1,0,135,0,0,0,6,235
8055160,0,2,111,0,0,131,0,0,0,7,251
8055203,0,0,96,0,1,105,0,0,0,4,206
8055281,0,1,107,0,0,92,2,0,0,6,208
8055936,1,0,86,1,0,169,0,0,0,9,266
8056165,0,1,51,0,0,69,0,0,0,5,126
8056250,1,0,41,0,0,116,1,0,0,0,159
8056798,0,0,44,1,0,54,1,0,0,3,103
8057019,1,0,96,1,0,172,0,0,0,8,278
8057101,0,1,62,0,0,109,0,0,0,1,173
8057157,1,1,68,0,0,118,0,1,0,5,194
8057315,1,0,65,0,0,91,0,0,0,2,159
8057430,1,2,95,0,0,167,3,0,0,9,277
8057509,0,0,61,0,0,120,1,0,0,1,183
8057566,0,0,56,0,0,77,0,0,0,2,135
8057639,2,3,88,1,1,157,1,0,0,3,256
8057688,1,0,85,0,0,130,1,0,0,9,226
8057703,0,0,60,0,0,140,1,0,0,2,203
8057735,0,0,92,1,0,178,0,0,1,3,275
8057862,0,0,85,1,0,147,1,1,0,3,238
8058346,0,2,110,1,0,121,0,0,0,8,242
8058437,0,1,96,0,0,121,0,0,0,3,221
